,name,RA,DEC,Equinox
495,NGC484,01:19:34.4,-58:32:08,2000
496,NGC485,01:21:24.3,+07:00:50,2000
497,NGC486,01:22:06.0,+05:23:50,2000
498,NGC487,01:21:49.5,-16:21:10,2000
499,NGC488,01:21:48.0,+05:15:50,2000
500,NGC489,01:21:48.8,+09:11:50,2000
501,NGC490,01:22:06.0,+05:21:50,2000
502,NGC491,01:21:21.1,-34:03:09,2000
503,NGC491,01:19:51.3,-33:52:08,2000
504,NGC492,01:22:12.0,+05:24:50,2000
505,NGC493,01:22:11.1,+00:56:50,2000
506,NGC494,01:23:00.6,+33:10:49,2000
507,NGC495,01:22:54.7,+33:28:49,2000
508,NGC496,01:23:18.7,+33:32:49,2000
509,NGC497,01:22:22.7,-00:52:10,2000
510,NGC498,01:23:18.7,+33:29:49,2000
511,NGC499,01:23:12.7,+33:27:49,2000
512,NGC500,01:22:42.0,+05:23:49,2000
513,NGC501,01:23:24.7,+33:26:49,2000
514,NGC502,01:22:48.8,+09:02:49,2000
515,NGC503,01:23:30.7,+33:20:49,2000
516,NGC504,01:23:30.6,+33:12:49,2000
517,NGC505,01:22:54.9,+09:27:49,2000
518,NGC506,01:23:36.6,+33:13:49,2000
519,NGC507,01:23:36.7,+33:15:49,2000
520,NGC508,01:23:36.7,+33:17:49,2000
521,NGC509,01:23:24.9,+09:25:49,2000
522,NGC510,01:23:42.7,+33:25:48,2000
523,NGC511,01:23:31.3,+11:16:49,2000
524,NGC512,01:24:00.9,+33:54:48,2000
525,NGC513,01:23:48.8,+33:48:48,2000
526,NGC514,01:24:01.6,+12:55:48,2000
527,NGC515,01:24:36.8,+33:28:48,2000
528,NGC516,01:24:06.9,+09:32:48,2000
529,NGC517,01:24:42.8,+33:26:48,2000
530,NGC518,01:24:18.9,+09:19:48,2000
531,NGC519,01:24:28.6,-01:38:12,2000
532,NGC520,01:24:35.7,+03:47:48,2000
533,NGC521,01:24:35.3,+01:43:48,2000
534,NGC522,01:24:43.0,+09:59:48,2000
535,NGC523,01:25:19.0,+34:01:47,2000
536,NGC524,01:24:48.9,+09:32:48,2000
537,NGC525,01:24:49.0,+09:41:48,2000
538,NGC526,01:23:56.6,-35:03:11,2000
539,NGC527,01:24:02.5,-35:06:12,2000
540,NGC528,01:25:31.0,+33:40:47,2000
541,NGC529,01:25:43.3,+34:43:47,2000
542,NGC530,01:24:40.6,-01:34:12,2000
543,NGC531,01:26:19.4,+34:44:46,2000
544,NGC532,01:25:18.9,+09:15:47,2000
545,NGC533,01:25:35.3,+01:45:47,2000
546,NGC534,01:24:37.5,-38:07:12,2000
547,NGC535,01:25:34.6,-01:23:13,2000
548,NGC536,01:26:25.4,+34:42:46,2000
549,NGC537,01:26:19.1,+34:04:46,2000
550,NGC538,01:25:28.6,-01:32:13,2000
551,NGC539,01:25:18.9,-18:09:13,2000
552,NGC540,01:24:36.6,-19:54:12,2000
553,NGC541,01:25:46.6,-01:21:13,2000
554,NGC542,01:26:31.4,+34:40:46,2000
555,NGC543,01:25:52.6,-01:16:13,2000
